listingId,brand,productName,productId,scopeRoute,application,protocol,sourceUrl,notes
8165-2192:0500,vulcan,"VER2, VER2M, VER3, VER3M, VER4, VER4M, and VER6M Vulcan Eave Round Vents",vulcan-ver2-ver2m-ver3-ver3m-ver4-ver4m-and-ver6m-vulcan-eave-round,,undereave,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26008883BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2192:0501,vulcan,"VSC75120 (0.75""x120""), VSC15120 (1.5""x120""), VSC1120 (1""x120""), VSC2120 (2""x120"")",vulcan-vsc75120-vsc15120-vsc1120-vsc2120,,unknown,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26008884BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2192:0502,vulcan,"VFS414 (3.5""x14""), VFS614 (5.5""x14""), VFS814 (7.5""x14""), VFS422 (3.5""x22"")",vulcan-vfs414-vfs614-vfs814-vfs422,,foundation,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26008885BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2192:0503,vulcan,"VG148 (8""x14""), VG1412 (14""x12""), VG1418 (14""x18""), and VG1424 (14""x24"") Gable Vent",vulcan-gable-vent,,gable,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26008886BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2214:0500,embers-out-llc,"EOSF1220N9-1S (12""x2""), EOSF1350N32-1S (13.5""x5""), EOSF1355N35-1S (13.5""x5.5"")",embers-out-llc-eosf1220n9-1s-eosf1350n32-1s-eosf1355n35-1s,,unknown,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26010479BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2232:0500,brandguard-vents,"UE3011 (22”x3.5”), UE3021 (14”x3.5”), UE3031 (14”x5”), UE3041 (22”x3”)",brandguard-vents-ue3011-ue3021-ue3031-ue3041,,soffit,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26007118BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2232:0501,brandguard,FP2011 Fire Plug Vent,brandguard-gable-vent,,undereave,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26007119BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2232:0502,brandguard-vents,"UE2011 (22""x3.5""), UE2021 (14""x3.5""), UE2031 (14""x5""), UE2041 (22""x3"")",brandguard-vents-ue2011-ue2021-ue2031-ue2041,,soffit,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26007120BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2353:0001,o-hagin,"F&IV01000 (4""x19""), F&IV02000 (5""x19""), F&IV03000 (6""x19""), F&IV04000 (7""x19""), F&IV05000",o-hagin-f-iv01000-f-iv02000-f-iv03000-f-iv04000-f-iv05000,,foundation,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26003629BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2363:0001,able-sheet-metal,"Multi-Guard Fire Resistant Gable Louver Vent (13.75"" x 12"")",able-sheet-metal-multi-guard-fire-resistant-gable-louver-vent,,gable,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26008835BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2363:0002,able-sheet-metal,Able Multi-Guard intumescent soffit vents,able-sheet-metal-mgv-style-soffit-vents-4500-mgv16-4620-mgv16,,soffit,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26005824BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2363:0003,able-sheet-metal,"Model MGV Style Louver Vents: 5420-1206-MGV (12"" × 6), 5420-1208-MGV (12"" × 8"")",able-sheet-metal-model-mgv-style-louver-vents-5420-1206-mgv-5420-1208,,unknown,not stated in live BML description,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26014062BML; issued 2026-08-11; expires 2027-06-30; live snapshot 2026-08-25.
8165-2394:0001,brand-x-metals-inc,"CF 75-V-425/17 (4.25""x17""), 75-V-425/8 (4.25""x96""), 75-V-425/10 (4.25""x120"")",brand-x-metals-inc-cf-75-v-425-17-75-v-425-8-75-v-425-10,,soffit,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26011282BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
8165-2397:0001,bushfire-mitigation-solutions-wildfire-defense-mesh,Wildfire Defense Vent Screen — WDM 98 OSFM BML configuration,bushfire-mitigation-solutions-wildfire-defense-mesh-wildfire-defense,,unknown,ASTM E2886,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26013845BML; issued 2026-07-03; expires 2027-06-30; live snapshot 2026-08-25.
8165-2426:0001,new-cal-metals-inc-dba-firestorm-building-products,FireStorm® V2™ listed vent families,new-cal-metals-inc-dba-firestorm-building-products-model-series-fsvg,,unknown,not stated in live BML description,https://calfire.govmotus.org/BMLSearch/Index,BML application CF26012833BML; issued 2026-06-26; expires 2027-06-30; live snapshot 2026-08-25.
