categoryCode,category,listingId,brand,productName,productId,scopeRoute,application,protocol,sourceUrl,productPage,categoryPage,notes
1080,walls partitions,1080-0357:0100,Won Door,FIREGUARD MFW single-sliding partition wall assembly,,out-of-scope-interior-partition,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26007772BML; issued 2026-04-16; expires 2027-06-30; live snapshot 2026-08-25.
1080,walls partitions,1080-2311:0502,"Kent Smoke and Fire Curtains Manufacturer, LLC",AFC07S/M-INSUL-119 motorized two-hour fabric fire partition,,out-of-scope-interior-partition,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26003792BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
1080,walls partitions,1080-2312:0502,"Door Systems, Inc.",DSI-FW119 motorized two-hour fabric fire partition,,out-of-scope-interior-partition,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26003331BML; issued 2026-07-01; expires 2027-06-30; live snapshot 2026-08-25.
1080,walls partitions,1080-2348:0001,"STARC Systems, Inc.",STARC Fireblock prefabricated insulated steel wall system,,out-of-scope-interior-partition,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26007774BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
1080,walls partitions,1080-2422:0001,arclin-surfaces,Arclin Firepoint 2500 exterior wall sheathing assembly,arclin-firepoint-2500-exterior-wall-sheathing,,,ASTM E84 / UL 723,https://calfire.govmotus.org/BMLSearch/Index,https://fireapproved.com/materials/arclin-firepoint-2500-exterior-wall-sheathing/,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26011912BML; issued 2026-07-31; expires 2027-06-30; live snapshot 2026-08-25.
1080,walls partitions,1080-2422:0002,arclin-surfaces,Firepoint 3500 OSB exterior wall sheathing in a one-hour assembly,,census-only-exact-manufacturer-spec-not-found,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-1080-walls-partitions/,BML application CF26006248BML; issued 2026-07-31; expires 2027-06-30; live snapshot 2026-08-25.
2440,insulation,2440-0941:0112,3M Company,Fire Barrier Duct Wrap 615+,,out-of-scope-duct-wrap,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-2440-insulation/,BML application CF26011456BML; issued 2026-05-20; expires 2027-06-30; live snapshot 2026-08-25.
2440,insulation,2440-1361:0106,THERMAL CERAMICS,FireMaster FastWrap XL encapsulated blanket insulation,,out-of-scope-service-protection-blanket,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-2440-insulation/,BML application CF26006001BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
2440,insulation,2440-1361:0500,THERMAL CERAMICS,FireMaster FastWrap XLS encapsulated insulation blanket,,out-of-scope-service-protection-blanket,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-2440-insulation/,BML application CF26006002BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
2440,insulation,2440-1478:0101,UNIFRAX,FyreWrap Elite 1.5 duct insulation,,out-of-scope-duct-wrap,,,https://calfire.govmotus.org/BMLSearch/Index,,https://fireapproved.com/data/osfm-2440-insulation/,BML application CF26004425BML; issued 2026-05-31; expires 2027-06-30; live snapshot 2026-08-25.
