slug,name,publisher,url,region,tier,evidenceKind,lineage,editions,canonicalUrl,scaleNotes,notes
ak-dof-fire-resistant-vegetation-2005,Protect Your Home from Wildfire — Fire Resistant Vegetation and Landscaping,"Alaska Department of Natural Resources, Division of Forestry, Community Forestry Program",https://forestry.alaska.gov/Assets/pdfs/community/publications/05FireResistVeg.pdf,Alaska,,expert-curated,unknown,original brochure 2005-04,https://fireapproved.com/plants/source/ak-dof-fire-resistant-vegetation-2005/,The 56 printed taxa in the source's Alaska firewise-landscape examples map to recommend with its placement-and-maintenance condition. Four genus examples under Characteristics of plants that ignite and burn readily map to avoid. Accepted-name reconciliation collapses the 60 entries to 58 evidence owners.,"All printed scientific identities were retained at their printed rank. Source spelling damage and obsolete combinations were reconciled only through explicit corrections and exact GBIF matches; source spellings remain in the parser and evidence claims. The taxon-free ""Ferns, native and non-native"" row was held. The guide gives no test method or citations, so tier remains unset and lineage unknown. The current official 74,657-byte download was reopened on 2026-08-26. Official PDF SHA-256: 68afb4eedbffab6e049e7c771326c1e9bd7a4f071ab2a754d256178b0fc7755e."
al-afc-firewise-woodland-homes-2001,Firewise Landscaping for Woodland Homes,Alabama Forestry Commission,https://web.archive.org/web/20020913055904/http://www.forestry.state.al.us/publication/FIREWISE_LANDSCAPING_FOR_WOODLAND_HOMES.pdf,Alabama,2,compiled,firewise-national,AFC-FP-04 (printed 1999; recovered PDF metadata 2002-02-25) 1999,https://fireapproved.com/plants/source/al-afc-firewise-woodland-homes-2001/,"The booklet separates suggested trees, shrubs, and groundcovers from four fire-prone plants to avoid within 30 feet of the house. Suggested rows map to recommend and the explicit avoid rows map to avoid.","The five-page Alabama Forestry Commission PDF was recovered from its 2002-09-13 Wayback capture after disappearing from the live site in 2003. The final printed page carries the Alabama Forestry Commission imprint, publication code AFC-FP-04, and year 1999; the PDF metadata is dated 2002-02-25. Thirty-one printed occurrences resolve to 27 exact GBIF owners; the repeated Acer genus row is represented once. Three rows are held rather than broadened: one schema-inexpressible form and two named cultivars. Printed errors corrected transparently for matching are Celtis occidentallis -> Celtis occidentalis, Llex -> Ilex, and Magnolia stellara -> Magnolia stellata. PDF SHA-256: 760c681c6083d0ff6342ff2d4aacd5015b76005fee8358c9ac25979a51f5c74f."
anaheim-2018,Recommended Acceptable Fire Resistive Plant Species,Anaheim Fire & Rescue,https://www.anaheim.net/DocumentCenter/View/26964/Fire-Resistive-Plant-Species,SoCal,2,compiled,ca-agency-tree,2018 2018-02-06,https://fireapproved.com/plants/source/anaheim-2018/,Binary acceptable list.,"Derives from older State of California agency lists (the CA agency tree rooted in the LA Arboretum program). Southern California climate context; corroborates flammability claims, never regional suitability for the PNW."
apsvic,Fire Resistant and Retardant Plants,Australian Plants Society Victoria (Neil Marriott),https://apsvic.org.au/fire-resistant-and-retardant-plants/,"Victoria, Australia",1,field-trial,apsvic,2026 2026,https://fireapproved.com/plants/source/apsvic/,"Two classes: fire-resistant (52 plants that will not burn in the face of continued flame) and fire-retardant (92 plants that resist the first wave of a bushfire but may burn once dried out). Both classes map to recommend, with the class preserved verbatim on each row.","Member-experience curation from burnt properties plus a foliage flare-up test — closer to field observation than list-copying, and independent of the CFA lineage. Carries the Sweet Pittosporum delisting: previously fire-retardant, now noted as highly flammable once dried, agreeing with Tasmania's X-coded row."
ashland-best-practices,Best Practices for Fire Resistant Landscaping,City of Ashland,https://ashlandoregon.gov/919/Best-Practices-for-Fire-Resistant-Landsc,OR,2,regulatory,pnw590-tree,,https://fireapproved.com/plants/source/ashland-best-practices/,"Recommendations defer to PNW 590; the prohibited-species list (AMC 9.04.022, adopted by resolution) is original regulatory content with legal force.",Prohibited list rows are adoption/regulatory evidence; recommendation rows are PNW 590-derivative.
ashland-prohibited,Prohibited Flammable Plants (Ashland Municipal Code 9.04),"City of Ashland, Oregon (Fire & Rescue / Weed Abatement)",https://ashlandoregon.gov/323/Prohibited-Flammable-Plants,"Ashland, Oregon",1,regulatory,pnw590-tree,2025 2025,https://fireapproved.com/plants/source/ashland-prohibited/,"A municipal prohibition list: the named trees, shrubs, and grasses may not be newly planted or allowed to propagate within 30 feet of any structure (AMC 9.04), with canopy- and shrub-spacing standards under AMC 18.3.10.100. Verdict map: prohibited = avoid. Starred taxa may receive dwarf or prostrate-variety exceptions only with fire department approval, placement beyond five feet, and ordinance-compliant spacing.","Regulatory evidence, not a flammability measurement — an adopted ordinance that corroborates avoid verdicts. Assigned to the pnw590 tree conservatively: an Oregon ordinance in the PNW-guidance sphere has not been demonstrated independent of that lineage, and independence must be shown, never assumed and matters directly to the Oregon audience. Mostly genus-level rows (all pines, all junipers, all cedars), which attach to genus records and leave species-level lab evidence undisturbed. The source's historical Rosmarinus spp. row is held rather than projected onto the much broader modern Salvia genus."
bardon-2005,Firewise Landscaping in North Carolina (E05-44596),"NC State University / NC Cooperative Extension + USFWS (Bardon, Van Druten)",https://sunsetbeachnc.gov/vertical/sites/%7BC59DF5BC-1B90-44CB-AD2A-9DAE0D811CD0%7D/uploads/firewise-landscaping-in-north-carolina.pdf,NC,1,expert-curated,nc-tree,2005 2005-07,https://fireapproved.com/plants/source/bardon-2005/,"Four-tier flammability rating (Low / Medium / High / Extreme) for ~200 North Carolina natives, by growth form with habitat columns. Verdict map: Low = recommend, Medium = mixed, High and Extreme = avoid.","The root of all NC ratings, including (near-certainly) the Plant Toolbox, whose signature four-value scale this document originated. National Fire Plan funded. Agency copy retired; town mirrors persist."
batista-2013-green-barriers-gtr245,Evaluation of the flammability of trees and shrubs used in green barriers in southern Brazil,"USDA Forest Service (Batista, Biondi, Tetto et al.; Universidade Federal do Paraná)",https://research.fs.usda.gov/download/treesearch/44525.pdf,"Curitiba, Paraná, Brazil",1,lab-tested,ufpr-cortinas-tree,2013 2013,https://fireapproved.com/plants/source/batista-2013-green-barriers-gtr245/,The paper applies Valette's 0-5 epiradiator flammability scale to live leaves and thin branches. Verdict map: 0-1 (non/low flammability) = recommend; 2-3 (moderately flammable/flammable) = mixed; 4-5 (highly/extremely flammable) = avoid.,"Complete English full text and Table 2 are publicly hosted by the USDA Forest Service. All five exact species are represented. Batista, Biondi, Tetto, and Kovalsyki recur in the UFPR green-barrier program, so this and its Brazilian companion papers share one ufpr-cortinas-tree vote. Use of Valette's method alone does not merge this new dataset with Valette's INRA lineage."
batista-biondi-2009-ligustrum,Flammability evaluation of Ligustrum lucidum for potential use in fuelbreaks,Revista Brasileira de Ciências Agrárias (Batista & Biondi; UFPR),http://www.agraria.pro.br/ojs32/index.php/RBCA/article/download/v4i4a11/1234,"Curitiba, Paraná, Brazil",1,field-trial,ufpr-cortinas-tree,2009 2009-12-31,https://fireapproved.com/plants/source/batista-biondi-2009-ligustrum/,"Verdicts follow the authors' explicit interpretation of replicated 1 m2 burn plots: Ligustrum lucidum = low flammability/recommend; Pinus taeda = high-flammability control/avoid. Rate of spread, flame height, and fire intensity remain in the evidence claims rather than being remapped.","The complete CC-BY full text and result tables are publicly available. Both exact measured taxa are represented. Batista's UFPR laboratory, method program, and later-paper authorship connect this experiment to the ufpr-cortinas-tree, so it enriches that lineage without adding a vote."
behm-2004-florida-understory,Flammability of native understory species in pine flatwood and hardwood hammock ecosystems,"International Journal of Wildland Fire (Behm, Duryea, Long, Zipperer)",https://www.researchgate.net/publication/228547525_Flammability_of_native_understory_species_in_pine_flatwood_and_hardwood_hammock_ecosystems_and_implications_for_the_wildland-urban_interface,north-central Florida,1,lab-tested,ufifas-srs-tree,2004 2004-11-16,https://fireapproved.com/plants/source/behm-2004-florida-understory/,"The paper rejects a single composite flammability index and instead names four taxa as the most flammable, one as the least flammable, and describes wax myrtle's measured characteristics as moderate. Verdict map: the named most-flammable group = avoid; the named least-flammable taxon = recommend; every other measured taxon = mixed. No threshold or score is inferred.","Species-level fuel structure, biomass, moisture, volatile-solids, and energy measurements for ten unique taxa sampled as twelve ecosystem-by-species groups. The author-uploaded article is publicly readable in full. Behm, Long, and Zipperer overlap the later Long 2006 whole-plant study, so both papers remain one ufifas-srs-tree lineage vote."
