plantId,scientificName,acceptedName,family,plantForm,flammabilityClass,ratingReason,recommendation,canonicalUrl,source,sourcePage,original,via,verdict,verdictRaw,claims,claimOriginal,score,plantPart,condition,sourcePlacement,edition,documentDate,sourceUrl,accessedOn
abelia-floribunda,Abelia floribunda,Vesalea floribunda,Caprifoliaceae,shrub,fire-resistant,consensus,on-list,https://fireapproved.com/plants/abelia-floribunda/,gva-valencia,https://fireapproved.com/plants/source/gva-valencia/,,,recommend,"recommended low-flammability species (shrubs, garden column)",,especies recomendadas,,,,,2019,,https://www.leliana.es/sites/www.leliana.es/files/files/Jardineria%20de%20baja%20inflamabilidad.pdf,2026-08-23T00:00:00.000Z
abelia-floribunda,Abelia floribunda,Vesalea floribunda,Caprifoliaceae,shrub,fire-resistant,consensus,on-list,https://fireapproved.com/plants/abelia-floribunda/,girona-pirojardineria-2020,https://fireapproved.com/plants/source/girona-pirojardineria-2020/,,,recommend,RECOMENDADA,"Abelia floribunda is rated “RECOMENDADA” by the guide's qualitative IUF garden-suitability method. The method assumes species-specific care and integrates fire evidence with fuel structure, maintenance, origin, invasiveness, and expert fire-service experience.",,,,,"{""value"":""suitable inside or outside the 25-metre maximum-risk zone"",""scheme"":""girona-2020-iuf-25m-suitability""}",2020 Spanish edition,2020-01-01T00:00:00.000Z,https://interior.gencat.cat/web/.content/home/030_arees_dactuacio/bombers/foc_forestal/publicacions_tecniques_i_normativa/guies_tecniques/prevencio_i_extincio/2020_Guia_de_pirojardineria_es.pdf,2026-08-25T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,fps-eastern-us,https://fireapproved.com/plants/source/fps-eastern-us/,,,mixed,MODERATELY Firewise (2),Leaves persist throughout winter increasing flammability.,,,,,"{""value"":""LZ2"",""scheme"":""fps-landscape-zone""}",2016-wayback,,,2026-08-23T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,long-2006-srs,https://fireapproved.com/plants/source/long-2006-srs/,,,mixed,"Moderate flammability (whole-plant burns, NIST BFRL)",,,,whole-plant,,,2006,,https://www.srs.fs.usda.gov/pubs/ja/ja_long004.pdf,2026-08-23T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,osu-b921,https://fireapproved.com/plants/source/osu-b921/,,,avoid,H flammability,Marginally cold hardy; adapts to various growing conditions.,,,,,"{""value"":""do not plant within 5 ft of structures (keep out of Zone 1)"",""scheme"":""b921-siting""}",2006,,http://web.archive.org/web/20070714035936/http://www.firewise.org/usa/files/ohio_plantlist.pdf,2026-08-23T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,va-firescapes,https://fireapproved.com/plants/source/va-firescapes/,,,avoid,H flammability,Adapts to many growing conditions.,,,,,,2009,,http://web.archive.org/web/20090709143736/http://pubs.ext.vt.edu/430/430-300/430-300.pdf,2026-08-23T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,firesmart-bc,https://fireapproved.com/plants/source/firesmart-bc/,,,recommend,FireSmart-approved fire-resistant plant,Flagged by FireSmart BC as needing more research.,,,,,,,,https://firesmartbc.ca/landscaping-hub/fire-resistant-plants/,2026-08-23T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,girona-pirojardineria-2020,https://fireapproved.com/plants/source/girona-pirojardineria-2020/,,,recommend,RECOMENDADA,"Abelia x grandiflora is rated “RECOMENDADA” by the guide's qualitative IUF garden-suitability method. The method assumes species-specific care and integrates fire evidence with fuel structure, maintenance, origin, invasiveness, and expert fire-service experience.",,,,,"{""value"":""suitable inside or outside the 25-metre maximum-risk zone"",""scheme"":""girona-2020-iuf-25m-suitability""}",2020 Spanish edition,2020-01-01T00:00:00.000Z,https://interior.gencat.cat/web/.content/home/030_arees_dactuacio/bombers/foc_forestal/publicacions_tecniques_i_normativa/guies_tecniques/prevencio_i_extincio/2020_Guia_de_pirojardineria_es.pdf,2026-08-25T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,sun-city-tx-firewise-plant-guide-2015,https://fireapproved.com/plants/source/sun-city-tx-firewise-plant-guide-2015/,,,mixed,medium,"The table rates Abelia — Abelia grandiflora; Abelia, Glossy — Abelia grandiflora medium for flammability hazard, defined as the ease a plant can burn at high temperatures for a prolonged time.",,,whole-plant,,"{""value"":""Shrubs"",""scheme"":""Sun City plant-table sections""}","updated January 14, 2015",2015-01-14T00:00:00.000Z,http://web.archive.org/web/20250114065810/https://www.sariverauthority.org/wp-content/uploads/2023/09/FIREWISE-PLANT-LIST-Sun-City.pdf,2026-08-25T00:00:00.000Z
abelia-grandiflora,Abelia grandiflora,Abelia chinensis,Caprifoliaceae,shrub,mixed-evidence,disputed,conflict,https://fireapproved.com/plants/abelia-grandiflora/,canberra-plant-selector,https://fireapproved.com/plants/source/canberra-plant-selector/,,,recommend,Fire Retardant — Yes — Abelia x grandiflora,The live Canberra Plant Selector marks “Abelia x grandiflora” as “Fire Retardant: Yes.”,,,whole-plant,,"{""value"":""filtered result page 1"",""scheme"":""canberra-selector""}",live tool capture 2026-08-25,,https://plantselector.com.au/browse-plants/?fire_retardant%5B0%5D=1,2026-08-25T00:00:00.000Z
abelia,Abelia sp.,Abelia,Caprifoliaceae,shrub,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abelia/,yavapai-34,https://fireapproved.com/plants/source/yavapai-34/,,,recommend,Fire-Resistant Plants,"Listed as Abelia — Abelia sp.. The bulletin says fire-resistant plants tend to resist ignition when irrigated and maintained, while fire-prone plants may ignite readily and burn intensely.",,,whole-plant,,,v1.2,2025-03-14T00:00:00.000Z,https://www.extension.arizona.edu/sites/default/files/2025-03/FirewisePlants3-14-2025.pdf,2026-08-25T00:00:00.000Z
abeliophyllum-distichum,Abeliophyllum distichum,Abeliophyllum distichum,Oleaceae,shrub,fire-resistant,limited-evidence,on-list,https://fireapproved.com/plants/abeliophyllum-distichum/,pnw-590,https://fireapproved.com/plants/source/pnw-590/,,,recommend,listed fire-resistant,,,,,,,2023,2023-10-01T00:00:00.000Z,https://extension.oregonstate.edu/catalog/pub/pnw-590-fire-resistant-plants-home-landscapes,2026-08-23T00:00:00.000Z
abeliophyllum-distichum,Abeliophyllum distichum,Abeliophyllum distichum,Oleaceae,shrub,fire-resistant,limited-evidence,on-list,https://fireapproved.com/plants/abeliophyllum-distichum/,idaho-firewise-master-db,https://fireapproved.com/plants/source/idaho-firewise-master-db/,,,mixed,fire-resistance score 6 of 10,,,"{""value"":6,""scale"":""idaho-0-10""}",,,"{""value"":""plantable at 50' from home"",""scheme"":""idaho-distance""}",,,https://idahofirewise.org/wp-content/uploads/2017/04/FireXResistanceXofXPlantsXMasterXDatabase.pdf,2026-08-23T00:00:00.000Z
abeliophyllum-distichum,Abeliophyllum distichum,Abeliophyllum distichum,Oleaceae,shrub,fire-resistant,limited-evidence,on-list,https://fireapproved.com/plants/abeliophyllum-distichum/,osu-plant-profile-galleries,https://fireapproved.com/plants/source/osu-plant-profile-galleries/,,,recommend,Choose the right shrubs for your fire-resistant landscape,The White forsythia profile prints Abeliophyllum distichum. The gallery points to PNW 590 for complete details.,,,whole-plant,,"{""value"":""White forsythia — Abeliophyllum distichum"",""scheme"":""osu-2023-shrubs-gallery""}",November 2023 educational gallery,2023-11-01T00:00:00.000Z,https://extension.oregonstate.edu/gallery/fire-resistant-plant-profiles-shrubs,2026-08-25T00:00:00.000Z
abelmoschus-manihot,Abelmoschus manihot,Abelmoschus manihot,Malvaceae,perennial,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abelmoschus-manihot/,flamits,https://fireapproved.com/plants/source/flamits/,Pacheco2022,,not-rated,maximum flame temperature (°C): 577.15,"FLAMITS record 16357; Combustibility measurement; plant part branches; fuel all; predrying yes; device grill; site Pacheco2022-1; sampling october to november 2022. Primary study Pacheco2022: Pacheco, A. S., Goodman, H. D., Hankenson, L., Fisk, J. J., Ortiz, A., Marinace, H. M., ...  Tng, D. Y. P. (2022). Fighting fire with food: Assessing the flammability of crop plant species for building fire resilient agroforestry systems. in review, preprint.",,"{""value"":577.15,""scale"":""FLAMITS — maximum flame temperature (°C)""}",shoot,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abelmoschus-manihot,Abelmoschus manihot,Abelmoschus manihot,Malvaceae,perennial,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abelmoschus-manihot/,flamits,https://fireapproved.com/plants/source/flamits/,Pacheco2022,,not-rated,burning duration (s): 1.75,"FLAMITS record 16358; Sustainability measurement; plant part branches; fuel all; predrying yes; device grill; site Pacheco2022-1; sampling october to november 2022. Primary study Pacheco2022: Pacheco, A. S., Goodman, H. D., Hankenson, L., Fisk, J. J., Ortiz, A., Marinace, H. M., ...  Tng, D. Y. P. (2022). Fighting fire with food: Assessing the flammability of crop plant species for building fire resilient agroforestry systems. in review, preprint.",,"{""value"":1.75,""scale"":""FLAMITS — burning duration (s)""}",shoot,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abelmoschus-manihot,Abelmoschus manihot,Abelmoschus manihot,Malvaceae,perennial,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abelmoschus-manihot/,flamits,https://fireapproved.com/plants/source/flamits/,Pacheco2022,,not-rated,estimated burnt biomass (%): 4,"FLAMITS record 16359; Consumability measurement; plant part branches; fuel all; predrying yes; device grill; site Pacheco2022-1; sampling october to november 2022. Primary study Pacheco2022: Pacheco, A. S., Goodman, H. D., Hankenson, L., Fisk, J. J., Ortiz, A., Marinace, H. M., ...  Tng, D. Y. P. (2022). Fighting fire with food: Assessing the flammability of crop plant species for building fire resilient agroforestry systems. in review, preprint.",,"{""value"":4,""scale"":""FLAMITS — estimated burnt biomass (%)""}",shoot,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Dimitrakopoulos2011,,not-rated,time to flaming (s): 26.31,"FLAMITS record 2979; Ignitability measurement; plant part leaves; fuel live; predrying no; device calorimeter; site Dimitrakopoulos2011-1; sampling summer. Primary study Dimitrakopoulos2011: Dimitrakopoulos, A. P., Mitsopoulos, I. D., & Kaliva, A. (2011). Short communication. Comparing flammability traits among fire-stricken (low elevation) and non fire- stricken (high elevation) conifer forest species of Europe: a test of the Mutch hypothesis. Forest Systems, 22, 134-137.",,"{""value"":26.31,""scale"":""FLAMITS — time to flaming (s)""}",leaf,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
abies-alba,Abies alba,Abies alba,Pinaceae,tree,mixed-evidence,limited-evidence,candidate,https://fireapproved.com/plants/abies-alba/,flamits,https://fireapproved.com/plants/source/flamits/,Dimitrakopoulos2011,,not-rated,calorific value (kcal/kg): 4527.48,"FLAMITS record 2989; Combustibility measurement; plant part leaves; fuel live; predrying no; device calorimeter; site Dimitrakopoulos2011-1; sampling summer. Primary study Dimitrakopoulos2011: Dimitrakopoulos, A. P., Mitsopoulos, I. D., & Kaliva, A. (2011). Short communication. Comparing flammability traits among fire-stricken (low elevation) and non fire- stricken (high elevation) conifer forest species of Europe: a test of the Mutch hypothesis. Forest Systems, 22, 134-137.",,"{""value"":4527.48,""scale"":""FLAMITS — calorific value (kcal/kg)""}",leaf,,,Dryad version 9,2023-12-22T00:00:00.000Z,https://doi.org/10.5061/dryad.h18931zr3,2026-08-25T00:00:00.000Z
